"query_accession"	"study_accession"	"title"	"abstract"	"description"	"study_type"	"center"	"submission_date"	"error"	"GSE"	"URL"
"SRP132882"	"PRJNA434119"	"A single Gal4-like transcription factor activates the Crabtree effect in Komagataella phaffii"	""	"The Crabtree phenotype defines whether a yeast can perform simultaneous respiration and fermentation under aerobic conditions at high growth rates, a phenomenon that resembles the Warburg effect in cancer cells. Whole genome duplication, global promoter rewiring and loss of respiratory complex I are the main molecular events that contributed to the evolution of Crabtree effect. Here we show that overexpression of a single Gal4-like transcription factor is sufficient to convert Crabtree-negative Komagataella phaffii (Pichia pastoris) into a Crabtree positive yeast. We report the transcriptome profile (RNASeq) of the Δgal4-like and Gal4-like overexpression K. phaffii strains. Upregulation of the glycolytic genes and a significant increase in glucose uptake rate due to the overexpression of the Gal4-like transcription factor caused an overflow metabolism, triggering both short-term and long-term Crabtree phenotypes. This indicates that a single mutation leading to overexpression of one gene may have been sufficient as a first molecular event towards respiro-fermentative metabolism in the course of yeast evolution. Overall design: Investigation of the transcriptome profile of the control, Gal4-like overexpression and Δgal4-like K. phaffii strains in triplicates."	""	"Working Group Mattanovich, Department of Biotechnology, University of Natural Resources and Life Sciences"	"2018-10-21"	""	""	"https://dee2.io/huge/pichia/SRP132882_NA.zip"
"SRP135907"	"PRJNA438709"	"RNA-seq differential expression analysis of Komagataella phaffii CBS2612 under mating conditions"	""	"We used RNA sequencing to analyse the differences in gene expression between the homothallic K. phaffii CBS2612 wild type and heterothallic a- and α-type strains during growth in rich medium and under mating conditions. This data was used to investigate mating-type specific gene expression and allowed the identification of the K. phaffii a-factor genes. Overall design: Examination of expression levels in two different media with wild type and heterothallic a- and α-type cells."	""	"Mattanovich Lab: Metabolic and Cell Engineering, Department of Biotechnology, University of Natural Resources and Life Sciences"	"2018-04-29"	""	""	"https://dee2.io/huge/pichia/SRP135907_NA.zip"
"SRP198262"	"PRJNA542662"	"Pseudohyphal differentiation in Komagataella phaffii: investigating the FLO gene family"	""	"The protein production host Komagataella phaffii has possess the ability to differentiate into pseudohyphal form when cultivated at slow growth rates (µ=0.05 h-1) in glucose-limited chemostats. In this study, we investigated the K. phaffii FLO gene family in the context of pseudohyphae formation. Transcriptional analysis helped us identify 3 possible responsible genes, FLO11, FLO400 and FLO5-1, all of which are under control of Flo8, a transcription factor whose disruption prevents pseudohyphae formation. Knocking out FLO11 revealed that this is not the sole protein responsible for this phenotype. Strikingly, the expression of FLO400 and FLO5-1 was negatively correlated with pseudohyphae formation, and shown to be under epigenetic control by FAIRE-Seq analysis. Knock outs of these two genes completely inhibited the appearance of pseudohyphal cells and prevented the expression of FLO11. Even though the mechanism is unclear at present, we propose that in K. phaffii Flo400 and/or Flo5-1 act as upstream signals that lead to the induction of FLO11 expression upon severe glucose limitation in chemostats at slow growth rate, and that the expression of FLO400 and FLO5-1 is controlled by epigenetic silencing, which acts independently from the general activation of FLO gene expression by the transcriptional regulator Flo8. Overall design: Comparison of transcript levels of FLO genes of Komagataella phaffii (wild-type strain) when cultivated in a glucose-limited chemostat at fast (µ=0.1 h-1), slow (µ=0.05 h-1) and then switched back to fast (µ=0.1 h-1) growth rates. Samples were taken after 5 residence times at each growth rate, in triplicates. A similar cultivation was carried out for the K. phaffii strain with disrupted FLO8 gene to identify the FLO genes under the control of the Flo8 transcription factor. In this case samples were taken at the fast (µ=0.1 h-1) and the slow (µ=0.05 h-1) growth rates."	""	"Working Group Mattanovich, Department of Biotechnology, University of Natural Resources and Life Sciences"	"2020-08-21"	""	""	"https://dee2.io/huge/pichia/SRP198262_NA.zip"
"SRP314811"	"PRJNA721898"	"Engineered SARS-CoV-2 receptor binding domain improves manufacturability in yeast and immunogenicity in mice"	""	"Global containment of COVID-19 still requires accessible and affordable vaccines for low- and middle-income countries (LMICs). Recently approved vaccines provide needed interventions, albeit at prices that may limit their global access. Subunit vaccines based on recombinant proteins are suited for large-volume microbial manufacturing to yield billions of doses annually, minimizing their manufacturing cost. These types of vaccines are well-established, proven interventions with multiple safe and efficacious commercial examples. Many vaccine candidates of this type for SARS-CoV-2 rely on sequences containing the receptor-binding domain (RBD), which mediates viral entry to cells via ACE2. Here we report an engineered sequence variant of RBD that exhibits high-yield manufacturability, high-affinity binding to ACE2, and enhanced immunogenicity after a single dose in mice compared to the Wuhan-Hu-1 variant used in current vaccines. Antibodies raised against the engineered protein exhibited heterotypic binding to the RBD from two recently reported SARS-CoV-2 variants of concern (501Y.V1/V2). Presentation of the engineered RBD on a designed virus-like particle (VLP) also reduced weight loss in hamsters upon viral challenge. Overall design: Two gene expression analysis experiments where various numbers of replicates of yeast cells expressing SARS-Cov2 receptor binding domain (RBD) transgenes were compared to cells expressing the P8 control transgene. The exp020821 experiment compares wild type or engineered RBD to controls. The exp031020 compares wild type RBD to controls."	""	"Koch Institute"	"2021-09-17"	""	""	"https://dee2.io/huge/pichia/SRP314811_NA.zip"
"SRP335592"	"PRJNA760524"	"Scalable, methanol-free manufacturing of the SARS-CoV-2 receptor binding domain in engineered Komagataella phaffii"	""	"Prevention of COVID-19 on a global scale will require the continued development of high-volume, low-cost platforms for the manufacturing of vaccines to supply on-going demand. Vaccine candidates based on recombinant protein subunits remain important because they can be manufactured at low costs in existing large-scale production facilities that use microbial hosts like Komagataella phaffii (Pichia pastoris). Here, we report an improved and scalable manufacturing approach for the SARS-CoV-2 spike protein receptor binding domain (RBD) this protein is a key antigen for several reported vaccine candidates. We genetically engineered a manufacturing strain of K. phaffii to obviate the requirement for methanol-induction of the recombinant gene. Methanol-free production improved the secreted titer of the RBD protein by >5x by alleviating protein folding stress. Removal of methanol from the production process enabled scale up to a 1,200 L pre-existing production facility. This engineered strain is now used to produce an RBD-based vaccine antigen that is currently in clinical trials and could be used to produce other variants of RBD as needed for future vaccines. Overall design: Comparison of 3 replicates of Komagataella phaffii cells grown in 5% MeOH with 3 repliates of cells growing in 4% Sorbitol."	""	"Koch Institute"	"2021-12-19"	""	""	"https://dee2.io/huge/pichia/SRP335592_NA.zip"
"SRP217973"	"PRJNA559571"	"Comparative genome-scale analysis of Pichia pastoris variants informs selection of an optimal base strain [protein expression]"	""	"Komagataella phaffii, also known as Pichia pastoris, is a common host for the production of biologics and enzymes, due to fast growth, high productivity, and advancements in host engineering. Several K. phaffii variants are commonly used as interchangeable base strains, which confounds efforts to improve this host. In this study, genomic and transcriptomic analyses of Y-11430 (CBS7435), X-33, GS115, and eight other variants enabled a comparative assessment of the relative fitness of these hosts for recombinant protein expression. Cell wall integrity explained the majority of the variation among strains, impacting transformation efficiency, growth, methanol metabolism, and secretion of heterologous proteins. Y-11430 exhibited the highest activity of genes involved in methanol utilization, up to two-fold higher transcription of heterologous genes, and robust growth. With a more permeable cell wall, X-33 displayed a six-fold higher transformation efficiency and up to 1.2-fold higher titers than Y-11430. X-33 also shared nearly all mutations, and a defective variant of HIS4, with GS115, precluding robust growth. Transferring two beneficial mutations identified in X-33 into Y-11430 resulted in an optimized base strain that provided up to four-fold higher transformation efficiency and three-fold higher protein titers, while retaining robust growth. The approach employed here to assess unique banked variants in a species and then transfer key beneficial variants into a base strain should also facilitate rational assessment of a broad set of other recombinant hosts. Overall design: Characterization of three clones of each of four P. pastoris strains expressing two different proteins (rhGH and rG-CSF) [=24 strains in total, all integrated using pPICZA backbone (invitrogen)] with triplicate total mRNA samples collected for each"	""	"Koch Institute"	"2019-11-07"	""	""	"https://dee2.io/huge/pichia/SRP217973_NA.zip"
"SRP217974"	"PRJNA559572"	"Comparative genome-scale analysis of Pichia pastoris variants informs selection of an optimal base strain [non-expressing]"	""	"Komagataella phaffii, also known as Pichia pastoris, is a common host for the production of biologics and enzymes, due to fast growth, high productivity, and advancements in host engineering. Several K. phaffii variants are commonly used as interchangeable base strains, which confounds efforts to improve this host. In this study, genomic and transcriptomic analyses of Y-11430 (CBS7435), X-33, GS115, and eight other variants enabled a comparative assessment of the relative fitness of these hosts for recombinant protein expression. Cell wall integrity explained the majority of the variation among strains, impacting transformation efficiency, growth, methanol metabolism, and secretion of heterologous proteins. Y-11430 exhibited the highest activity of genes involved in methanol utilization, up to two-fold higher transcription of heterologous genes, and robust growth. With a more permeable cell wall, X-33 displayed a six-fold higher transformation efficiency and up to 1.2-fold higher titers than Y-11430. X-33 also shared nearly all mutations, and a defective variant of HIS4, with GS115, precluding robust growth. Transferring two beneficial mutations identified in X-33 into Y-11430 resulted in an optimized base strain that provided up to four-fold higher transformation efficiency and three-fold higher protein titers, while retaining robust growth. The approach employed here to assess unique banked variants in a species and then transfer key beneficial variants into a base strain should also facilitate rational assessment of a broad set of other recombinant hosts. Overall design: Characterization of 11 different Komagataella phaffii strains under 3 growth conditions with replicate total mRNA samples collected for each strain and condition"	""	"Koch Institute"	"2019-11-07"	""	""	"https://dee2.io/huge/pichia/SRP217974_NA.zip"
"SRP455504"	"PRJNA1006195"	"RNA-seq analysis of Komagataella phaffii"	""	"RNA-seq analysis of gene expression of Komagataella phaffii cultured in glucose or mannitol media."	""	"Minjiang University"	"2024-09-02"	""	""	"https://dee2.io/huge/pichia/SRP455504_NA.zip"
"SRP556042"	"PRJNA1207999"	"Komagataella phaffii GS115 sequencing"	""	"Changes in the transcriptome after knockout of the PEX3 gene from GS115."	""	"University of Shanghai for Science and Technology"	"2025-03-22"	""	""	"https://dee2.io/huge/pichia/SRP556042_NA.zip"
"SRP557147"	"PRJNA1210102"	"Sequencing analysis of intracellular inserted formate dehydrogenase gene and uninserted recombinant komagataella phaffii"	""	"In this study, the intracellular metabolic pathway of K. phaffii was modified. Firstly, the formate dehydrogenase gene of the dissimilar pathway was knocked out, and then the formate dehydrogenase of Candida boidinii (CbFDH)was inserted to construct an autotrophic pathway of CO2 fixation in the cell of recombinant K. phaffii. CO2 was reduced to formate by NADH electrochemical regeneration system, and the formate was further used to induce the expression of foreign proteins by recombinant K. phaffii. Finally, the expression of recombinant protein was induced by CO2 substrate, and transcriptomic analysis was performed on the recombinant K. phaffii. RNA-seq technology was an efficient approach to investigate the transcriptome, which was verified as a reliable method by several researchers. The analysis of the metabolic pathway of recombinant protein expression induced by formate synthesis on CO2 substrate will contribute to the early realization of the goal of carbon neutrality, and has positive significance for the application of K. phaffii in the safe production of foreign proteins."	""	"University of Shanghai for Science and Technology"	"2025-01-15"	""	""	"https://dee2.io/huge/pichia/SRP557147_NA.zip"
"SRP644950"	"PRJNA1346813"	"K. phaffii culture with and without the side chain addition"	""	"Transcriptome sequencing was used to investigate the differentially expressed genes (DEGs) between K. phaffii culture with and without the side chain DMB-S-MMP addition"	""	"East China University Of Science and Technology"	"2025-10-22"	""	""	"https://dee2.io/huge/pichia/SRP644950_NA.zip"
"SRP685522"	"PRJNA1360733"	"Komagataella phaffii NRRL 64867 Transcriptome"	""	"Transcriptome sequencing of oleaginous Komagataella yeast strain Cells grown in YPD liquid medium at 25 C"	""	"DOE Joint Genome Institute"	"2025-11-16"	""	""	"https://dee2.io/huge/pichia/SRP685522_NA.zip"
"SRP429412"	"PRJNA943385"	"Komagataella pastoris Raw sequence reads"	""	"RNAseq of pichia pastoris"	""	"Jimei University"	"2024-05-07"	""	""	"https://dee2.io/huge/pichia/SRP429412_NA.zip"
